	HSK_level	structure
660	3	 Topic + Subj. + 一 + Measure Word + (Noun) + 也 / 都 + Verb 
663	3	 Subj. + 越 ⋯⋯ ，越 ⋯⋯ 
667	3	 Subj. 1 + 越 ⋯⋯ ，Subj. 2 + 越 ⋯⋯ 
670	3	 越 ⋯⋯ 越 + 不 ⋯⋯ 
673	3	 Subj. + 越 + Verb + 越 + 想 + Verb 
676	3	 Subj. + [Verb Phrase] + Obj. :: / :: Subj. + 把 + Obj. + [Verb Phrase] 
680	3	 Subj. + 把 + Obj. 1 + Verb + 给 + Obj. 2 
689	3	 Subj. + 被 (+ Doer) + Verb + 了 
711	3	 Place + Verb + 着 + [Noun Phrase] 
716	3	 Place + 是 + [Noun Phrase] 
721	3	 想 + Verb + 就 + Verb 
726	3	 想 + Verb + [Question Word] + 就 + Verb + [Question Word] 
731	3	 谁 + 都 + Predicate 
734	3	 哪儿 / 哪里 (+ Verb) + 都 + Predicate 
737	3	 什么时候 (+ Verb) + 都 + Predicate 
740	3	 Verb + 多少 + 都 + Predicate 
743	3	 怎么 + Verb + 都 + Predicate 
746	3	 Subj. + 越来越 + Verb / Adj. + 了 
756	3	 为了 ⋯⋯ ，Subj. ⋯⋯ 
762	3	 ⋯⋯ 是 + 为了 / 因为 ⋯⋯ 
766	3	" ""Somewhere"" with 哪儿 "
778	3	 A + 有 + B + Adj. + 吗 ？ 
782	3	 A + 有 + B + Verb + 得 + Adj. + 吗 ？ 
784	3	 A + 有 (+ B) + 这么 / 那么 + Adj. + 吗 ？ 
788	3	 跟 + A + 比 (起来) ，B⋯⋯ :: / :: B + 跟 + A + 比 (起来) ，⋯⋯ 
793	3	 跟 + Time + 比 (起来) ，⋯⋯ 
798	3	 Noun 1 + 比 + Noun 2 + 更 / 还 + Adj. 
807	3	 Noun 1 + 比 + Noun 2 + Adj. + 很多 / 得多 / 多了 
814	3	 Subj. + Adj. + 多了 
817	3	 除了 ⋯⋯ (+ 以外) ，Subj. + 都 / 也 / 还 ⋯⋯ 
827	3	 如果 ⋯⋯ ，就 / 那么 / 那 ⋯⋯ 
836	3	 如果 ⋯⋯ 的话 ，(就) ⋯⋯ 
